11:23:12.976 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
11:23:13.045 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
11:23:13.325 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection conn0: url=jdbc:h2:mem:stockmarketdetails user=ROOT
11:23:13.330 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
11:23:14.619 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
11:23:14.693 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
11:23:15.750 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
11:23:18.086 [main] INFO  o.s.b.a.h.H2ConsoleAutoConfiguration - H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:stockmarketdetails'
11:23:18.748 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
11:23:18.872 [main] INFO  c.l.stockwatch.StockwatchServiceTest - Started StockwatchServiceTest in 10.265 seconds (process running for 12.238)
11:23:20.545 [main] INFO  c.l.s.service.StockWatchServiceImpl - Executing method to get stock details all company {}
11:23:20.636 [main] INFO  c.l.s.service.StockWatchServiceImpl - Started executing method to get stock details for company London Stock Exchange
11:23:20.641 [main] INFO  c.l.s.service.StockWatchServiceImpl - End of method execution to get stock details for company London Stock Exchange
11:23:20.669 [main] INFO  c.l.s.service.StockWatchServiceImpl - Started executing method to save data to DB
11:23:20.670 [main] INFO  c.l.s.service.StockWatchServiceImpl - End of method execution save data to DB
11:23:20.703 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
